Treatment Variable,Target Variable,Method,Control,Treatment Level,ATE,Lower Bound,Upper Bound
ACEHURT1,MENTHLTH,BaseDRLearner (XGBoost),Never,Once,1.4243697717254409,1.1515050593495593,1.6972344841013225
ACEHURT1,MENTHLTH,BaseDRLearner (XGBoost),Never,More than once,2.9017167732483258,2.705185296332003,3.0982482501646484
ACEHURT1,MENTHLTH,BaseRLearner (XGBoost),Never,Once,1.4237824895450102,1.4226030546916872,1.4249619243983331
ACEHURT1,MENTHLTH,BaseRLearner (XGBoost),Never,More than once,2.846546668511026,2.845712084400823,2.847381252621229
ACESWEAR,MENTHLTH,BaseDRLearner (XGBoost),Never,Once,1.064931260210097,0.7862445891242756,1.3436179312959189
ACESWEAR,MENTHLTH,BaseDRLearner (XGBoost),Never,More than once,3.216307213675491,3.0574964676208305,3.375117959730152
ACESWEAR,MENTHLTH,BaseRLearner (XGBoost),Never,Once,0.9386043791706216,0.9373810774200833,0.9398276809211602
ACESWEAR,MENTHLTH,BaseRLearner (XGBoost),Never,More than once,3.1616609257739,3.160990041154088,3.162331810393712
ACETOUCH,MENTHLTH,BaseDRLearner (XGBoost),Never,Once,2.4381738401717525,2.0687973928258296,2.8075502875176754
ACETOUCH,MENTHLTH,BaseDRLearner (XGBoost),Never,More than once,3.815724887523881,3.5119306877384533,4.119519087309309
ACETOUCH,MENTHLTH,BaseRLearner (XGBoost),Never,Once,2.3652223966765176,2.363587393261008,2.3668574000920275
ACETOUCH,MENTHLTH,BaseRLearner (XGBoost),Never,More than once,3.704978910384564,3.70366949939938,3.706288321369748
ACETTHEM,MENTHLTH,BaseDRLearner (XGBoost),Never,Once,2.647713462438369,2.230288025688083,3.065138899188655
ACETTHEM,MENTHLTH,BaseDRLearner (XGBoost),Never,More than once,3.872014969739918,3.510574435294305,4.233455504185531
ACETTHEM,MENTHLTH,BaseRLearner (XGBoost),Never,Once,2.8013478342623497,2.7994592754442755,2.803236393080424
ACETTHEM,MENTHLTH,BaseRLearner (XGBoost),Never,More than once,4.142710341048254,4.141140296677299,4.144280385419209
ACEHVSEX,MENTHLTH,BaseDRLearner (XGBoost),Never,Once,3.2218302737064777,2.624974485265424,3.818686062147531
ACEHVSEX,MENTHLTH,BaseDRLearner (XGBoost),Never,More than once,4.683840532224044,4.2149990991500665,5.1526819652980205
ACEHVSEX,MENTHLTH,BaseRLearner (XGBoost),Never,Once,3.291072088160845,3.2883165601909727,3.2938276161307174
ACEHVSEX,MENTHLTH,BaseRLearner (XGBoost),Never,More than once,4.644832758141707,4.642750219989842,4.646915296293572
